Vendedor	Treinamento	Data	Cliente	 Valor 	Alunos	Instrutor	Conteúdo	Período	Total	Estado 	Avaliação Instrutor
Priscila	Excel Avançado	01/06/2016	Pessoa Física	 2.240,00 	12	Caio 	Personalizado	Quarta-feira	26.880,00	São Paulo	3
Mirian	Excel Dashboards	01/06/2016	Pessoa Física	 2.479,00 	9	Fernando	Regular	Personalizado	22.311,00	São Paulo	3
Murilo	Excel VBA iniciante	02/06/2016	Pessoa Física	 3.200,00 	9	Roberto	Regular	Manhã	28.800,00	São Paulo	3
Roberto	Excel VBA avançado	02/06/2016	Pessoa Jurídica	 3.921,00 	10	Rosana	Regular	Tarde	39.210,00	São Paulo	3
Myslaine	Access VBA	02/06/2016	Pessoa Jurídica	 780,00 	8	Sandra	Personalizado	Noite	6.240,00	São Paulo	5
Katia	Word VBA	02/06/2016	Pessoa Jurídica	 980,00 	10	Sérgio	Regular	Integral	9.800,00	São Paulo	4
Vanessa	Outlook	04/06/2016	Pessoa Física	 1.020,00 	8	Manuel	Regular	Madrugada	8.160,00	São Paulo	3
Renata	Outlook VBA	04/06/2016	Pessoa Jurídica	 1.340,00 	10	Joaquim	Regular	Quinta-feira	13.400,00	São Paulo	3
Rodrigo	PowerPoint	04/06/2016	Pessoa Física	 1.870,00 	10	Paulo	Personalizado	Sexta-feira	18.700,00	São Paulo	5
Priscila	PowerPoint VBA	04/06/2016	Pessoa Física	 1.910,00 	8	Leandro	Regular	Personalizado	15.280,00	São Paulo	3
Mirian	Access	06/06/2016	Pessoa Física	 2.240,00 	12	José	Regular	Manhã	26.880,00	São Paulo	5
Murilo	Windows	06/06/2016	Pessoa Jurídica	 2.479,00 	8	Caio 	Regular	Tarde	19.832,00	São Paulo	4
Roberto	Excel Básico	06/06/2016	Pessoa Jurídica	 3.200,00 	11	Caio 	Personalizado	Noite	35.200,00	São Paulo	3
Myslaine	Excel Intermediário	06/06/2016	Pessoa Jurídica	 3.921,00 	12	Fernando	Regular	Integral	47.052,00	São Paulo	3
Katia	Excel Avançado	08/06/2016	Pessoa Física	 780,00 	10	Fernando	Regular	Madrugada	7.800,00	São Paulo	2
Vanessa	Excel Dashboards	08/06/2016	Pessoa Jurídica	 980,00 	10	Ana	Regular	Sábado	9.800,00	São Paulo	2
Renata	Excel VBA iniciante	08/06/2016	Pessoa Física	 1.020,00 	10	Paulo	Personalizado	Domingo	10.200,00	São Paulo	3
Rodrigo	Excel VBA avançado	08/06/2016	Pessoa Física	 1.340,00 	10	Sandra	Regular	Personalizado	13.400,00	São Paulo	3
Priscila	Access VBA	10/06/2016	Pessoa Física	 1.870,00 	8	Sandra	Regular	Manhã	14.960,00	São Paulo	5
Mirian	Word VBA	10/06/2016	Pessoa Jurídica	 1.910,00 	8	Humberto	Regular	Tarde	15.280,00	São Paulo	4
Murilo	Outlook	10/06/2016	Pessoa Jurídica	 2.240,00 	10	Henrique	Personalizado	Noite	22.400,00	São Paulo	5
Roberto	Outlook VBA	10/06/2016	Pessoa Jurídica	 2.479,00 	9	Douglas	Regular	Integral	22.311,00	São Paulo	5
Myslaine	PowerPoint	12/06/2016	Pessoa Física	 3.200,00 	11	Jane	Regular	Madrugada	35.200,00	São Paulo	4
Katia	PowerPoint VBA	12/06/2016	Pessoa Jurídica	 3.921,00 	11	Caio 	Regular	Segunda-feira	43.131,00	São Paulo	5
Vanessa	Access	12/06/2016	Pessoa Física	 780,00 	10	Fernando	Personalizado	Terça-feira	7.800,00	São Paulo	4
Renata	Windows	12/06/2016	Pessoa Física	 980,00 	12	Roberto	Regular	Personalizado	11.760,00	São Paulo	5
Rodrigo	Excel Básico	14/06/2016	Pessoa Física	 1.020,00 	11	Rosana	Regular	Manhã	11.220,00	São Paulo	4
Priscila	Excel Intermediário	14/06/2016	Pessoa Jurídica	 1.340,00 	9	Sandra	Regular	Tarde	12.060,00	São Paulo	3
Mirian	Excel Avançado	14/06/2016	Pessoa Jurídica	 1.870,00 	11	Sérgio	Personalizado	Noite	20.570,00	São Paulo	5
Murilo	Excel Dashboards	14/06/2016	Pessoa Jurídica	 1.910,00 	8	Manuel	Regular	Integral	15.280,00	São Paulo	2
Roberto	Excel VBA iniciante	16/06/2016	Pessoa Física	 2.240,00 	11	Joaquim	Regular	Madrugada	24.640,00	São Paulo	3
Myslaine	Excel VBA avançado	16/06/2016	Pessoa Jurídica	 2.479,00 	12	Paulo	Regular	Quarta-feira	29.748,00	São Paulo	2
Katia	Access VBA	16/06/2016	Pessoa Física	 3.200,00 	11	Leandro	Personalizado	Quinta-feira	35.200,00	São Paulo	5
Vanessa	Word VBA	16/06/2016	Pessoa Física	 3.921,00 	12	José	Regular	Personalizado	47.052,00	São Paulo	2
Renata	Outlook	18/06/2016	Pessoa Física	 780,00 	12	Caio 	Regular	Manhã	9.360,00	São Paulo	3
Rodrigo	Outlook VBA	18/06/2016	Pessoa Jurídica	 980,00 	8	Caio 	Regular	Tarde	7.840,00	São Paulo	3
Priscila	PowerPoint	18/06/2016	Pessoa Jurídica	 1.020,00 	10	Fernando	Personalizado	Noite	10.200,00	São Paulo	4
Mirian	PowerPoint VBA	18/06/2016	Pessoa Jurídica	 1.340,00 	8	Fernando	Regular	Integral	10.720,00	São Paulo	2
Murilo	Access	01/06/2016	Pessoa Física	 1.870,00 	8	Ana	Regular	Madrugada	14.960,00	São Paulo	3
Roberto	Windows	01/06/2016	Pessoa Jurídica	 1.910,00 	11	Paulo	Regular	Sexta-feira	21.010,00	São Paulo	2
Myslaine	Excel Básico	01/06/2016	Pessoa Física	 2.240,00 	10	Sandra	Personalizado	Sábado	22.400,00	São Paulo	2
Katia	Excel Intermediário	01/06/2016	Pessoa Física	 2.479,00 	8	Sandra	Regular	Personalizado	19.832,00	São Paulo	5
Vanessa	Excel Avançado	01/06/2016	Pessoa Física	 3.200,00 	10	Humberto	Regular	Manhã	32.000,00	São Paulo	5
Renata	Excel Dashboards	01/06/2016	Pessoa Jurídica	 3.921,00 	9	Henrique	Regular	Tarde	35.289,00	São Paulo	4
Rodrigo	Excel VBA iniciante	02/06/2016	Pessoa Jurídica	 780,00 	8	Douglas	Personalizado	Noite	6.240,00	São Paulo	2
Priscila	Excel VBA avançado	02/06/2016	Pessoa Jurídica	 980,00 	10	Jane	Regular	Integral	9.800,00	São Paulo	5
Mirian	Access VBA	02/06/2016	Pessoa Física	 1.020,00 	9	Caio 	Regular	Madrugada	9.180,00	São Paulo	4
Murilo	Word VBA	02/06/2016	Pessoa Jurídica	 1.340,00 	12	Fernando	Regular	Domingo	16.080,00	São Paulo	5
Roberto	Outlook	04/06/2016	Pessoa Física	 1.870,00 	9	Roberto	Personalizado	Segunda-feira	16.830,00	São Paulo	4
Myslaine	Outlook VBA	04/06/2016	Pessoa Física	 1.910,00 	11	Rosana	Regular	Personalizado	21.010,00	São Paulo	5
Katia	PowerPoint	04/06/2016	Pessoa Física	 2.240,00 	10	Sandra	Regular	Manhã	22.400,00	São Paulo	4
Vanessa	PowerPoint VBA	04/06/2016	Pessoa Jurídica	 2.479,00 	11	Sérgio	Regular	Tarde	27.269,00	São Paulo	2
Renata	Access	06/06/2016	Pessoa Jurídica	 3.200,00 	11	Manuel	Personalizado	Noite	35.200,00	São Paulo	3
Rodrigo	Windows	06/06/2016	Pessoa Jurídica	 3.921,00 	9	Joaquim	Regular	Integral	35.289,00	São Paulo	3
Priscila	Excel Básico	06/06/2016	Pessoa Física	 780,00 	11	Paulo	Regular	Madrugada	8.580,00	São Paulo	3
Mirian	Excel Intermediário	06/06/2016	Pessoa Jurídica	 980,00 	8	Leandro	Regular	Terça-feira	7.840,00	São Paulo	5
Murilo	Excel Avançado	08/06/2016	Pessoa Física	 1.020,00 	9	José	Personalizado	Quarta-feira	9.180,00	São Paulo	5
Roberto	Excel Dashboards	08/06/2016	Pessoa Física	 1.340,00 	8	Caio 	Regular	Personalizado	10.720,00	São Paulo	5
Myslaine	Excel VBA iniciante	08/06/2016	Pessoa Física	 1.870,00 	10	Caio 	Regular	Manhã	18.700,00	São Paulo	4
Katia	Excel VBA avançado	08/06/2016	Pessoa Jurídica	 1.910,00 	10	Fernando	Regular	Tarde	19.100,00	São Paulo	5
Vanessa	Access VBA	10/06/2016	Pessoa Jurídica	 2.240,00 	9	Fernando	Personalizado	Noite	20.160,00	São Paulo	2
Renata	Word VBA	10/06/2016	Pessoa Jurídica	 2.479,00 	11	Ana	Regular	Integral	27.269,00	São Paulo	3
Rodrigo	Outlook	10/06/2016	Pessoa Física	 3.200,00 	12	Paulo	Regular	Madrugada	38.400,00	São Paulo	5
Priscila	Outlook VBA	10/06/2016	Pessoa Jurídica	 3.921,00 	9	Sandra	Regular	Quinta-feira	35.289,00	São Paulo	4
Mirian	PowerPoint	12/06/2016	Pessoa Física	 780,00 	10	Sandra	Personalizado	Sexta-feira	7.800,00	São Paulo	4
Murilo	PowerPoint VBA	12/06/2016	Pessoa Física	 980,00 	10	Humberto	Regular	Personalizado	9.800,00	São Paulo	5
Roberto	Access	12/06/2016	Pessoa Física	 1.020,00 	9	Henrique	Regular	Manhã	9.180,00	São Paulo	3
Myslaine	Windows	12/06/2016	Pessoa Jurídica	 1.340,00 	9	Douglas	Regular	Tarde	12.060,00	São Paulo	2
Katia	Excel Básico	14/06/2016	Pessoa Jurídica	 1.870,00 	11	Jane	Personalizado	Noite	20.570,00	São Paulo	2
Vanessa	Excel Intermediário	14/06/2016	Pessoa Jurídica	 1.910,00 	10	Caio 	Regular	Integral	19.100,00	São Paulo	4
Renata	Excel Avançado	14/06/2016	Pessoa Física	 2.240,00 	11	Fernando	Regular	Madrugada	24.640,00	São Paulo	2
Rodrigo	Excel Dashboards	14/06/2016	Pessoa Jurídica	 2.479,00 	10	Roberto	Regular	Sábado	24.790,00	São Paulo	2
Priscila	Excel VBA iniciante	16/06/2016	Pessoa Física	 3.200,00 	9	Rosana	Personalizado	Domingo	28.800,00	São Paulo	3
Mirian	Excel VBA avançado	16/06/2016	Pessoa Física	 3.921,00 	9	Sandra	Regular	Personalizado	35.289,00	São Paulo	3
Murilo	Access VBA	16/06/2016	Pessoa Física	 780,00 	10	Sérgio	Regular	Manhã	7.800,00	São Paulo	5
Roberto	Word VBA	16/06/2016	Pessoa Jurídica	 980,00 	12	Manuel	Regular	Tarde	11.760,00	São Paulo	4
Myslaine	Outlook	18/06/2016	Pessoa Jurídica	 1.020,00 	11	Joaquim	Personalizado	Noite	11.220,00	São Paulo	2
Katia	Outlook VBA	18/06/2016	Pessoa Jurídica	 1.340,00 	11	Paulo	Regular	Integral	14.740,00	São Paulo	4
Vanessa	PowerPoint	18/06/2016	Pessoa Física	 1.870,00 	11	Leandro	Regular	Madrugada	20.570,00	São Paulo	4
Renata	PowerPoint VBA	18/06/2016	Pessoa Jurídica	 1.910,00 	11	José	Regular	Segunda-feira	21.010,00	São Paulo	2
Rodrigo	Access	01/06/2016	Pessoa Física	 2.240,00 	10	Caio 	Personalizado	Terça-feira	22.400,00	São Paulo	5
Priscila	Windows	01/06/2016	Pessoa Física	 2.479,00 	9	Caio 	Regular	Personalizado	22.311,00	São Paulo	3
Mirian	Excel Básico	01/06/2016	Pessoa Física	 3.200,00 	8	Fernando	Regular	Manhã	25.600,00	São Paulo	2
Murilo	Excel Intermediário	01/06/2016	Pessoa Jurídica	 3.921,00 	8	Fernando	Regular	Tarde	31.368,00	São Paulo	2
Roberto	Excel Avançado	01/06/2016	Pessoa Jurídica	 780,00 	9	Ana	Personalizado	Noite	7.020,00	São Paulo	3
Myslaine	Excel Dashboards	01/06/2016	Pessoa Jurídica	 980,00 	10	Paulo	Regular	Integral	9.800,00	São Paulo	5
Katia	Excel VBA iniciante	02/06/2016	Pessoa Física	 1.020,00 	9	Sandra	Regular	Madrugada	9.180,00	São Paulo	5
Vanessa	Excel VBA avançado	02/06/2016	Pessoa Jurídica	 1.340,00 	12	Sandra	Regular	Quarta-feira	16.080,00	São Paulo	4
Renata	Access VBA	02/06/2016	Pessoa Física	 1.870,00 	10	Humberto	Personalizado	Quinta-feira	18.700,00	São Paulo	5
Rodrigo	Word VBA	02/06/2016	Pessoa Física	 1.910,00 	10	Henrique	Regular	Personalizado	19.100,00	São Paulo	2
Priscila	Outlook	04/06/2016	Pessoa Física	 2.240,00 	12	Douglas	Regular	Manhã	26.880,00	São Paulo	5
Mirian	Outlook VBA	04/06/2016	Pessoa Jurídica	 2.479,00 	10	Jane	Regular	Tarde	24.790,00	São Paulo	4
Murilo	PowerPoint	04/06/2016	Pessoa Jurídica	 3.200,00 	10	Caio 	Personalizado	Noite	32.000,00	São Paulo	2
Roberto	PowerPoint VBA	04/06/2016	Pessoa Jurídica	 3.921,00 	8	Fernando	Regular	Integral	31.368,00	São Paulo	5
Myslaine	Access	06/06/2016	Pessoa Física	 780,00 	10	Roberto	Regular	Madrugada	7.800,00	São Paulo	2
Katia	Windows	06/06/2016	Pessoa Jurídica	 980,00 	11	Rosana	Regular	Sexta-feira	10.780,00	São Paulo	5
Vanessa	Excel Básico	06/06/2016	Pessoa Física	 1.020,00 	12	Sandra	Personalizado	Sábado	12.240,00	São Paulo	5
Renata	Excel Intermediário	06/06/2016	Pessoa Física	 1.340,00 	9	Sérgio	Regular	Personalizado	12.060,00	São Paulo	3
Rodrigo	Excel Avançado	08/06/2016	Pessoa Física	 1.870,00 	12	Manuel	Regular	Manhã	22.440,00	São Paulo	4
Priscila	Excel Dashboards	08/06/2016	Pessoa Jurídica	 1.910,00 	10	Joaquim	Regular	Tarde	19.100,00	São Paulo	5
Mirian	Excel VBA iniciante	08/06/2016	Pessoa Jurídica	 2.240,00 	12	Paulo	Personalizado	Noite	26.880,00	São Paulo	5
Murilo	Excel VBA avançado	08/06/2016	Pessoa Jurídica	 2.479,00 	12	Leandro	Regular	Integral	29.748,00	São Paulo	2
Roberto	Access VBA	10/06/2016	Pessoa Física	 3.200,00 	12	José	Regular	Madrugada	38.400,00	São Paulo	4
Myslaine	Word VBA	10/06/2016	Pessoa Jurídica	 3.921,00 	12	Caio 	Regular	Domingo	47.052,00	São Paulo	2
Katia	Outlook	10/06/2016	Pessoa Física	 780,00 	8	Caio 	Personalizado	Segunda-feira	6.240,00	São Paulo	3
Vanessa	Outlook VBA	10/06/2016	Pessoa Física	 980,00 	8	Fernando	Regular	Personalizado	7.840,00	São Paulo	4
Renata	PowerPoint	12/06/2016	Pessoa Física	 1.020,00 	10	Fernando	Regular	Manhã	10.200,00	São Paulo	4
Rodrigo	PowerPoint VBA	12/06/2016	Pessoa Jurídica	 1.340,00 	10	Ana	Regular	Tarde	13.400,00	São Paulo	3
Priscila	Access	12/06/2016	Pessoa Jurídica	 1.870,00 	10	Paulo	Personalizado	Noite	18.700,00	São Paulo	4
Mirian	Windows	12/06/2016	Pessoa Jurídica	 1.910,00 	10	Sandra	Regular	Integral	19.100,00	São Paulo	3
Murilo	Excel Básico	14/06/2016	Pessoa Física	 2.240,00 	9	Sandra	Regular	Madrugada	20.160,00	São Paulo	2
Roberto	Excel Intermediário	14/06/2016	Pessoa Jurídica	 2.479,00 	9	Humberto	Regular	Terça-feira	22.311,00	São Paulo	4
Myslaine	Excel Avançado	14/06/2016	Pessoa Física	 3.200,00 	11	Henrique	Personalizado	Quarta-feira	35.200,00	São Paulo	3
Katia	Excel Dashboards	14/06/2016	Pessoa Física	 3.921,00 	8	Douglas	Regular	Personalizado	31.368,00	São Paulo	5
Vanessa	Excel VBA iniciante	16/06/2016	Pessoa Física	 780,00 	9	Jane	Regular	Manhã	7.020,00	São Paulo	3
Renata	Excel VBA avançado	16/06/2016	Pessoa Jurídica	 980,00 	12	Caio 	Regular	Tarde	11.760,00	São Paulo	3
Rodrigo	Access VBA	16/06/2016	Pessoa Jurídica	 1.020,00 	12	Fernando	Personalizado	Noite	12.240,00	São Paulo	4
Priscila	Word VBA	16/06/2016	Pessoa Jurídica	 1.340,00 	8	Roberto	Regular	Integral	10.720,00	São Paulo	4
Mirian	Outlook	18/06/2016	Pessoa Física	 1.870,00 	10	Rosana	Regular	Madrugada	18.700,00	São Paulo	5
Murilo	Outlook VBA	18/06/2016	Pessoa Jurídica	 1.910,00 	9	Sandra	Regular	Quinta-feira	17.190,00	São Paulo	4
Roberto	PowerPoint	18/06/2016	Pessoa Física	 2.240,00 	8	Sérgio	Personalizado	Sexta-feira	17.920,00	São Paulo	2
Myslaine	PowerPoint VBA	18/06/2016	Pessoa Física	 2.479,00 	10	Manuel	Regular	Personalizado	24.790,00	São Paulo	5
Katia	Access	01/06/2016	Pessoa Física	 3.200,00 	8	Joaquim	Regular	Manhã	25.600,00	São Paulo	4
Vanessa	Windows	01/06/2016	Pessoa Jurídica	 3.921,00 	11	Paulo	Regular	Tarde	43.131,00	São Paulo	2
Renata	Excel Básico	01/06/2016	Pessoa Jurídica	 780,00 	9	Leandro	Personalizado	Noite	7.020,00	São Paulo	5
Rodrigo	Excel Intermediário	01/06/2016	Pessoa Jurídica	 980,00 	8	José	Regular	Integral	7.840,00	São Paulo	4
Priscila	Excel Avançado	01/06/2016	Pessoa Física	 1.020,00 	9	Caio 	Regular	Madrugada	9.180,00	São Paulo	4
Mirian	Excel Dashboards	01/06/2016	Pessoa Jurídica	 1.340,00 	8	Caio 	Regular	Sábado	10.720,00	São Paulo	3
Murilo	Excel VBA iniciante	02/06/2016	Pessoa Física	 1.870,00 	11	Fernando	Personalizado	Domingo	20.570,00	São Paulo	2
Roberto	Excel VBA avançado	02/06/2016	Pessoa Física	 1.910,00 	11	Fernando	Regular	Personalizado	21.010,00	São Paulo	5
Myslaine	Access VBA	02/06/2016	Pessoa Física	 2.240,00 	8	Ana	Regular	Manhã	17.920,00	São Paulo	3
Katia	Word VBA	02/06/2016	Pessoa Jurídica	 2.479,00 	12	Paulo	Regular	Tarde	29.748,00	São Paulo	4
Vanessa	Outlook	04/06/2016	Pessoa Jurídica	 3.200,00 	8	Sandra	Personalizado	Noite	25.600,00	São Paulo	3
Renata	Outlook VBA	04/06/2016	Pessoa Jurídica	 3.921,00 	11	Sandra	Regular	Integral	43.131,00	São Paulo	3
Rodrigo	PowerPoint	04/06/2016	Pessoa Física	 780,00 	9	Humberto	Regular	Madrugada	7.020,00	São Paulo	5
Priscila	PowerPoint VBA	04/06/2016	Pessoa Jurídica	 980,00 	9	Henrique	Regular	Segunda-feira	8.820,00	São Paulo	5
Mirian	Access	06/06/2016	Pessoa Física	 1.020,00 	9	Douglas	Personalizado	Terça-feira	9.180,00	São Paulo	3
Murilo	Windows	06/06/2016	Pessoa Física	 1.340,00 	10	Jane	Regular	Personalizado	13.400,00	São Paulo	5
Roberto	Excel Básico	06/06/2016	Pessoa Física	 1.870,00 	11	Caio 	Regular	Manhã	20.570,00	São Paulo	2
Myslaine	Excel Intermediário	06/06/2016	Pessoa Jurídica	 1.910,00 	9	Fernando	Regular	Tarde	17.190,00	São Paulo	3
Katia	Excel Avançado	08/06/2016	Pessoa Jurídica	 2.240,00 	8	Roberto	Personalizado	Noite	17.920,00	São Paulo	2
Vanessa	Excel Dashboards	08/06/2016	Pessoa Jurídica	 2.479,00 	10	Rosana	Regular	Integral	24.790,00	São Paulo	2
Renata	Excel VBA iniciante	08/06/2016	Pessoa Física	 3.200,00 	10	Sandra	Regular	Madrugada	32.000,00	São Paulo	2
Rodrigo	Excel VBA avançado	08/06/2016	Pessoa Jurídica	 3.921,00 	10	Sérgio	Regular	Quarta-feira	39.210,00	São Paulo	3
Priscila	Access VBA	10/06/2016	Pessoa Física	 780,00 	9	Manuel	Personalizado	Quinta-feira	7.020,00	São Paulo	3
Mirian	Word VBA	10/06/2016	Pessoa Física	 980,00 	10	Joaquim	Regular	Personalizado	9.800,00	São Paulo	3
Murilo	Outlook	10/06/2016	Pessoa Física	 1.020,00 	9	Paulo	Regular	Manhã	9.180,00	São Paulo	5
Roberto	Outlook VBA	10/06/2016	Pessoa Jurídica	 1.340,00 	11	Leandro	Regular	Tarde	14.740,00	São Paulo	2
Myslaine	PowerPoint	12/06/2016	Pessoa Jurídica	 1.870,00 	8	José	Personalizado	Noite	14.960,00	São Paulo	5
Katia	PowerPoint VBA	12/06/2016	Pessoa Jurídica	 1.910,00 	10	Caio 	Regular	Integral	19.100,00	São Paulo	2
Vanessa	Access	12/06/2016	Pessoa Física	 2.240,00 	9	Caio 	Regular	Madrugada	20.160,00	São Paulo	5
Renata	Windows	12/06/2016	Pessoa Jurídica	 2.479,00 	10	Fernando	Regular	Sexta-feira	24.790,00	São Paulo	4
Rodrigo	Excel Básico	14/06/2016	Pessoa Física	 3.200,00 	12	Fernando	Personalizado	Sábado	38.400,00	São Paulo	4
Priscila	Excel Intermediário	14/06/2016	Pessoa Física	 3.921,00 	9	Ana	Regular	Personalizado	35.289,00	São Paulo	4
Mirian	Excel Avançado	14/06/2016	Pessoa Física	 780,00 	12	Paulo	Regular	Manhã	9.360,00	São Paulo	5
Murilo	Excel Dashboards	14/06/2016	Pessoa Jurídica	 980,00 	10	Sandra	Regular	Tarde	9.800,00	São Paulo	4
Roberto	Excel VBA iniciante	16/06/2016	Pessoa Jurídica	 1.020,00 	12	Sandra	Personalizado	Noite	12.240,00	São Paulo	2
Myslaine	Excel VBA avançado	16/06/2016	Pessoa Jurídica	 1.340,00 	10	Humberto	Regular	Integral	13.400,00	São Paulo	5
Katia	Access VBA	16/06/2016	Pessoa Física	 1.870,00 	10	Henrique	Regular	Madrugada	18.700,00	São Paulo	4
